日付,場,R,馬場種,距離,馬番,馬名,印,条件指数,条件順,ノイズ耐性,条件走数,ピーク何走前,実力指数,実力順,市場人気,市場ソース,人気薄好走,スコア,残差SD,判別可否,着順
2026-08-01,札幌,8,ダ,1700,10,タイキインドラ,◎,1.2675541296901798,1,0.963,8,6,-0.9835475408390878,5,8.0,当日人気,0,1.75,1.15,ノイズ域,
2026-08-01,札幌,10,芝,1500,6,アルディスティーノ,◎,1.3484335738172688,2,0.82,7,8,-0.36583185876979196,6,7.0,当日人気,0,1.77,1.15,ノイズ域,
2026-08-02,中京,4,ダ,1200,13,プレデンシア,◎,-0.13759782059141656,2,0.632,8,2,-1.5662396616139063,9,8.0,オッズ順,0,0.34,1.16,ノイズ域,
2026-08-02,中京,9,芝,3000,1,トモジャシャトー,◎,0.6101538923544609,4,0.948,4,4,-1.483093363937877,7,7.0,オッズ順,1,1.53,1.16,ノイズ域,
2026-08-02,中京,10,ダ,1900,5,オーレアミスト,◎,1.6619154302324688,1,0.907,8,4,-0.9342975198563251,5,9.0,オッズ順,1,2.7,1.16,判別可,
2026-08-02,中京,11,芝,2200,2,メイショウアゴナス,◎,-0.6787861160501252,4,0.79,8,3,-1.5016819493391935,4,6.0,オッズ順,0,-0.32,1.16,判別可,
2026-08-02,新潟,4,ダ,1800,5,ヤマタケボニータ,◎,-0.3238024916807674,4,0.57,6,7,-1.9063076763223306,10,13.0,オッズ順,1,0.96,1.16,ノイズ域,
2026-08-02,新潟,6,ダ,1800,14,スプレーフォール,◎,1.4878714368774055,1,0.743,8,7,-0.51998937207603,4,7,近3走人気,0,1.91,1.16,ノイズ域,
2026-08-02,新潟,7,芝,1000,8,シュラフ,◎,1.3374704420173777,2,0.588,7,5,-0.9492241900756625,12,6.0,当日人気,1,2.2,1.16,ノイズ域,
2026-08-02,新潟,8,芝,1800,6,ユメシルベ,◎,0.5472037020241771,3,0.517,8,7,-0.30163841850122003,4,13.0,オッズ順,1,1.83,1.16,判別可,
2026-08-02,新潟,10,ダ,1200,4,レディサン,◎,0.9399151991113144,1,0.605,6,2,-1.1040829482479195,10,10.0,オッズ順,1,2.04,1.16,ノイズ域,
2026-08-02,新潟,10,ダ,1200,3,マオノクラッシュ,○,0.48227231019647265,4,0.53,6,6,-0.9482609283939696,9,8.0,オッズ順,0,0.96,1.16,ノイズ域,
2026-08-02,札幌,6,ダ,1700,1,ステイアンビシャス,◎,0.8515196645649012,2,0.613,8,5,-0.5844234257365003,6,9.0,オッズ順,4,3.39,1.16,ノイズ域,
2026-08-02,札幌,8,芝,1200,10,シャインズオンユー,◎,0.8502986404948345,1,0.598,7,2,-0.9328866121416808,10,6.0,オッズ順,0,1.21,1.16,ノイズ域,
2026-08-02,札幌,9,ダ,1000,11,ジーベック,◎,0.7053268867353196,1,0.535,8,3,-1.3839157783340752,11,9.0,オッズ順,1,1.75,1.16,ノイズ域,
2026-08-02,札幌,12,芝,1200,13,スイミーユニバンス,◎,1.050435255851197,1,0.718,7,3,-0.7190169701941045,9,7.0,オッズ順,1,1.97,1.16,ノイズ域,
2026-08-02,札幌,12,芝,1200,9,ピースフルナイト,○,0.364022535484834,4,0.595,8,6,-0.45620125705580533,5,14.0,オッズ順,1,1.7,1.16,ノイズ域,
